ParticipantID,BlockNumber,SubjectiveBlockTotalTime,ResponseTimeSubjectiveBlockTotalTime,ResponseTimeFirstAttemptSubjectiveBlockTotalTime,AttemptsAnswerSubjectiveBlockTotalTime,ConfidenceSubjectiveBlockTotalTime,ResponseTimeConfidenceSubjectiveBlockTotalTime,LevelBoredom,ResponseTimeLevelBoredom,TotalObjectiveBlockTime
51,1,12,23.24339999997616,,,2,31.32759999990463,3,38.91609999990463,384.8181999999285
51,2,6,12.644700000047685,12.644700000047685,1.0,3,15.572200000047683,2,17.410700000047683,435.8795
51,3,7,5.8043000000715255,5.8043000000715255,1.0,3,7.903600000023842,1,11.681899999976158,488.8203999999761
52,1,4,12.77710000002384,,,4,15.549200000047684,4,19.179400000035763,349.297
52,2,10,20.7195,20.7195,1.0,4,22.5285,3,24.18669999998808,517.0046999999881
52,3,8,3.237199999988079,3.237199999988079,1.0,3,5.422099999964237,3,7.642399999976158,409.3558000000119
53,2,200,7.6841999999992545,7.6841999999992545,1.0,3,22.0105,3,22.905,427.33170000000297
53,3,250,9.648,4.865099999997764,2.0,3,11.02129999999702,3,11.886099999997764,520.6205999999978
54,1,5,9.752400000095369,,,3,12.476799999952316,4,14.833700000047685,362.5762999999523
54,2,10,3.1776000001430518,3.1776000001430518,1.0,2,5.316700000047684,4,7.104800000190735,467.4557999999523
54,3,12,8.376799999952317,2.737,3.0,4,35.97,4,48.77179999995232,478.2335
55,2,12,7.313800000011921,7.313800000011921,1.0,3,9.881100000023842,3,12.48140000000596,455.757
55,3,8,15.705,15.705,1.0,3,17.798200000017882,3,19.46459999999404,356.20459999999406
56,1,10,25.100400000000374,,,3,33.995099999999624,4,44.76,393.0309000000004
56,2,12,13.219,13.219,1.0,4,18.21779999999888,4,22.6545,428.1356999999993
56,3,13,3.2429000000003727,3.2429000000003727,1.0,3,5.4145,3,8.87060000000149,469.3598999999985
57,1,10,17.93410000014305,,,4,22.764,3,24.931900000095368,535.9004000000954
57,2,9,3.593299999952316,3.593299999952316,1.0,4,4.695899999856949,3,9.312700000047684,566.6038999998569
57,3,6,4.070700000047684,4.070700000047684,1.0,4,7.451900000095367,4,9.180300000190735,400.25170000004766
58,1,10,44.3725,,,3,46.4595,3,52.565,431.468
58,2,10,11.095600000023842,11.095600000023842,1.0,3,13.94260000002384,3,18.33610000002384,556.1547999999523
58,3,10,7.984899999976158,7.984899999976158,1.0,3,9.984599999964235,3,12.088799999952316,503.5231999999881
59,2,10,0.0,0.0,1.0,4,33.46289999999106,4,36.50159999999404,607.051
59,3,15,8.098300000011921,6.0705,2.0,2,4.22990000000596,3,12.80480000001192,668.235299999997
